Республика Адыгея
Республика Башкортостан
Республика Бурятия
Республика Алтай
Кабардино-Балкарская Республика
Республика Калмыкия
Республика Коми
Карачаево-Черкесская Республика
Республика Карелия
Республика Марий Эл
Республика Мордовия
Республика Северная Осетия - Алания
Республика Татарстан(Татарстан)
Республика Хакасия
Чувашская Республика
Республика Саха(Якутия)
Республика Дагестан
Республика Тыва
Удмуртская Республика
Чеченская Республика
Агинский Бурятский автоном.округ
Корякский автономный округ
Коми-Пермяцкий автономный округ
Ненецкий автономный округ
Таймырский(Долгано-Ненецкий) а.о.
Усть-Ордынский Бурятский а.о.
Ханты-Мансийский автономный округ
Чукотский автономный округ
Эвенкийский автономный округ
Ямало-Ненецкий автономный округ
Еврейская автономная область
Алтайский край
Краснодарский край
Красноярский край
Приморский край
Ставропольский край
Хабаровский край
Амурская область
Архангельская область
Астраханская область
Белгородская область
Брянская область
Владимирская область
Волгоградская область
Вологодская область
Воронежская область
Ивановская область
Иркутская область
Калининградская область
Калужская область
Камчатская область
Кемеровская область
Кировская область
Костромская область
Курганская область
Курская область
Ленинградская область
Липецкая область
Магаданская область
Московская область
Мурманская область
Нижегородская область
Новгородская область
Новосибирская область
Омская область
Оренбургская область
Орловская область
Пензенская область
Пермская область
Псковская область
Ростовская область
Рязанская область
Саратовская область
Сахалинская область
Свердловская область
Смоленская область
Самарская область
Тверская область
Тамбовская область
Томская область
Тульская область
Тюменская область
Ульяновская область
Челябинская область
Забайкальский край
Ярославская область
Москва
Санкт-Петербург
Республика Ингушетия
Байконур г.
Республика Крым
Севастополь
Исполнительная дирекция ПФР/Департамент выплаты пенсий за границу
Информационный центр персонифицированного учета
Управление ПФР в Центральном федеральном округе
Управление ПФР в Северо-Западном федеральном округе
Управление ПФР в Южном федеральном округе
Управление ПФР в Приволжском федеральном округе
Управление ПФР в Уральском Федеральном округе
Управление ПФР в Сибирском федеральном округе
Управление ПФР в Дальневосточном федеральном округе
Управление ПФР в Северо-Кавказском федеральном округе
Государственное учреждение - Отделение Пенсионного фонда Российской Федерации по г. Москве и Московской области
Отделение Пенсионного фонда Российской Федерации (государственное учреждение) по Санкт-Петербургу и Ленинградской области
Отделение Пенсионного фонда Российской Федерации (государственное учреждение) по Пермскому краю
Отделение Пенсионного фонда Российской Федерации (государственное учреждение) по по Иркутской области и Усть-Ордынскому Бурятскому а.о.
Отделение Пенсионного фонда Российской Федерации (государственное учреждение) по Красноярскому краю
Отделение Пенсионного фонда Российской Федерации (государственное учреждение) по Камчатскому краю
Отделение Пенсионного фонда Российской Федерации (государственное учреждение) по Забайкальскому краю
